PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
58,2022-10-06,16:24:48.76,3,4,"Knowles, Nathan",1000075454,Right,WM_TRI,"Winters, Max",1000050304,Right,WM_TRI,Undefined,2,Top,2,3,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,85.80467,-1.044351,0.474182,2087.133321,173.070218,11:45,5.73236,-0.22395,5.11295,-19.57099,20.12434,-2.26756,3.11742,0.03382,77.16678,-4.746683,0.073061,0.453462,,,,,,,,,,,,1.27343,10.73768,0.18114,50,5.61965,-0.92445,-124.23095,-2.88204,1.95893,28.52338,-15.65611,WM_TRI,WM_TRI,PlumeriPark,TeamExclusive,Team,20221006-PlumeriPark-Private-1,0f48cda0-45b5-11ed-990a-975020632eee,83.12145,,,8.63789,,,,,,,1b977687-f2c8-4152-9997-3a9a8c1c805d,2022-10-06,20:24:48.76,2022-10-06T16:24:48.7665998-04:00,2022-10-06T20:24:48.7665998Z,,v3,471493,471493,,"Ducker, Gavin",1000151843,Right,WM_TRI,41c79740-7574-4d28-99a4-c9b732ee6ce4,55.3817,-125.4605,14.26169,5.72934,-2.20716,-7.82805,0.22281,-1.00889,0.97947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
59,2022-10-06,16:25:12.82,3,5,"Knowles, Nathan",1000075454,Right,WM_TRI,"Winters, Max",1000050304,Right,WM_TRI,Undefined,2,Top,2,3,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,87.82071,-2.592691,-0.274576,2078.94362,174.390442,11:45,5.70921,0.13582,5.18282,-17.1108,21.04588,-1.91772,1.84223,-0.28233,78.45025,-5.861299,-0.614307,0.444587,,,,,,,,,,,,0.85957,11.81886,-0.10877,50,5.45615,0.69663,-126.96656,-6.2689,1.36879,31.92704,-13.35362,WM_TRI,WM_TRI,PlumeriPark,TeamExclusive,Team,20221006-PlumeriPark-Private-1,1dd8fbb0-45b5-11ed-990a-975020632eee,84.78083,,,9.37045,,,,,,,1b977687-f2c8-4152-9997-3a9a8c1c805d,2022-10-06,20:25:12.82,2022-10-06T16:25:12.8232270-04:00,2022-10-06T20:25:12.8232270Z,,v3,471493,471493,,"Ducker, Gavin",1000151843,Right,WM_TRI,92c05c18-aafe-4f40-b2a2-88bf1476cb8e,55.31221,-128.29541,15.96352,5.7055,-5.7131,-6.67681,-0.13658,0.63966,0.68439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
60,2022-10-06,16:25:44.39,3,6,"Knowles, Nathan",1000075454,Right,WM_TRI,"Carr, Will",10027123,Left,WM_TRI,Undefined,2,Top,2,0,1,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,72.89171,3.647375,-1.567074,2080.214938,317.504441,4:30,5.14883,-0.61488,4.82483,-68.3383,-12.97135,13.59776,2.91444,-0.96631,66.32322,-8.653546,0.825936,0.535546,,,,,,,,,,,,-7.13855,-6.90496,0.75793,50,5.45182,2.34598,-105.50359,4.33092,-7.96937,19.54737,-39.88264,WM_TRI,WM_TRI,PlumeriPark,TeamExclusive,Team,20221006-PlumeriPark-Private-1,308b3520-45b5-11ed-990a-975020632eee,70.38133,,,6.56849,,,,,,,1b977687-f2c8-4152-9997-3a9a8c1c805d,2022-10-06,20:25:44.39,2022-10-06T16:25:44.3966286-04:00,2022-10-06T20:25:44.3966286Z,,v3,471493,471493,,"Ducker, Gavin",1000151843,Right,WM_TRI,95dbf420-b7e0-403a-99a8-33595c27e3d4,55.67846,-106.55048,9.77368,5.16267,6.4669,-19.94132,0.62086,2.7728,-3.98469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
61,2022-10-06,16:25:59.76,3,7,"Knowles, Nathan",1000075454,Right,WM_TRI,"Carr, Will",10027123,Left,WM_TRI,Undefined,2,Top,2,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,84.98929,0.02868,-0.174153,2089.804469,169.018853,11:45,5.59229,-0.22338,5.19171,-23.431,16.90351,-2.99311,3.66669,-0.63663,76.39915,-4.370874,-0.704367,0.457098,,,,,,,,,,,,1.42532,8.8263,0.24187,50,5.57795,0.50882,-123.08713,-0.70875,2.15169,28.07229,-18.84956,WM_TRI,WM_TRI,PlumeriPark,TeamExclusive,Team,20221006-PlumeriPark-Private-1,399f4610-45b5-11ed-990a-975020632eee,82.46022,,,8.59014,,,,,,,1b977687-f2c8-4152-9997-3a9a8c1c805d,2022-10-06,20:25:59.76,2022-10-06T16:25:59.7673294-04:00,2022-10-06T20:25:59.7673294Z,,v3,471493,471493,,"Ducker, Gavin",1000151843,Right,WM_TRI,fc9b3fc8-4dc8-4308-a7fc-1ccd63b70502,55.30287,-124.29066,14.03615,5.59101,0.09938,-9.42478,0.22203,0.41657,1.07585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
62,2022-10-06,16:26:19.78,3,8,"Knowles, Nathan",1000075454,Right,WM_TRI,"Carr, Will",10027123,Left,WM_TRI,Undefined,2,Top,2,2,0,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,72.38903,0.645647,0.093904,2144.429516,322.396533,4:45,5.02911,-0.62434,4.84032,-68.7674,-12.70583,11.2565,-0.09015,0.40262,66.42157,-11.670294,2.084414,0.538895,,,,,,,,,,,,-5.57406,-6.06929,0.60471,50,5.03321,-0.59925,-104.98909,-1.16637,-6.13451,20.09615,-38.8536,WM_TRI,WM_TRI,PlumeriPark,TeamExclusive,Team,20221006-PlumeriPark-Private-1,45a40e50-45b5-11ed-990a-975020632eee,69.94395,,,5.96746,,,,,,,1b977687-f2c8-4152-9997-3a9a8c1c805d,2022-10-06,20:26:19.78,2022-10-06T16:26:19.7871950-04:00,2022-10-06T20:26:19.7871950Z,,v3,471493,471493,,"Ducker, Gavin",1000151843,Right,WM_TRI,da7ebe18-6c1d-42d4-a4d8-e38d698186fc,55.66343,-106.06761,10.04808,5.03985,0.9188,-19.4268,0.62803,-0.27003,-3.06726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
63,2022-10-06,16:26:40.39,3,9,"Knowles, Nathan",1000075454,Right,WM_TRI,"Carr, Will",10027123,Left,WM_TRI,Undefined,2,Top,2,3,0,Fastball,Four-Seam,FoulBall,Undefined,Undefined,Undefined,0,0,,84.63243,-1.284618,0.527177,2030.002129,175.833351,11:45,5.50848,-0.17625,5.37896,-24.40458,15.82135,-1.04847,2.27025,0.2306,76.57965,-5.847114,0.340713,0.456483,86.417,52.811242,-55.978504,5332.669187,,,,,130.3242,,,0.69512,8.76851,0.12984,50,5.37675,-1.08427,-122.67541,-3.54692,1.04606,27.09337,-18.97843,WM_TRI,WM_TRI,PlumeriPark,TeamExclusive,Team,20221006-PlumeriPark-Private-1,51e431e0-45b5-11ed-990a-975020632eee,82.57145,103.67126,,8.05278,,,,2.76778,1.94709,0.21543,1b977687-f2c8-4152-9997-3a9a8c1c805d,2022-10-06,20:26:40.39,2022-10-06T16:26:40.3967822-04:00,2022-10-06T20:26:40.3967822Z,,v3,471493,471493,,"Ducker, Gavin",1000151843,Right,WM_TRI,ad13bb06-a654-4d07-8697-343a7413c5e1,55.11878,-123.80075,13.54669,5.50771,-2.75864,-9.48922,0.17578,-1.12772,0.52303,,2.76778,42.86358,-7.05469,0.19131,0.28509,-0.13844,0.03923,-0.00734,0.00057,1.94709,100.97082,-31.64194,4.43715,-0.8206,0.11005,-0.00714,-0.00125,0.00025,0.21542,-63.4958,16.55014,-5.98649,1.68737,-0.38669,0.06636,-0.00596,-1E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
64,2022-10-06,16:27:08.27,3,10,"Knowles, Nathan",1000075454,Right,WM_TRI,"Carr, Will",10027123,Left,WM_TRI,Undefined,2,Top,2,3,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,85.59008,-1.844996,1.166622,1988.280467,157.999916,11:15,5.58877,-0.24504,5.29397,-21.95194,17.95529,-6.62437,2.02615,0.29846,76.63073,-5.986267,-0.009376,0.454671,,,,,,,,,,,,3.70929,10.05308,0.1439,50,5.40558,-2.22718,-123.82619,-4.68847,5.62873,29.94385,-16.91883,WM_TRI,WM_TRI,PlumeriPark,TeamExclusive,Team,20221006-PlumeriPark-Private-1,626f93b0-45b5-11ed-990a-975020632eee,82.90048,,,8.95935,,,,,,,1b977687-f2c8-4152-9997-3a9a8c1c805d,2022-10-06,20:27:08.27,2022-10-06T16:27:08.2730318-04:00,2022-10-06T20:27:08.2730318Z,,v3,471493,471493,,"Ducker, Gavin",1000151843,Right,WM_TRI,c9f959de-93f3-4d9c-8dae-066dc12f20e0,55.201,-125.07758,14.97192,5.58674,-3.98141,-8.45942,0.24189,-2.4624,2.81436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
65,2022-10-06,16:27:26.44,3,11,"Knowles, Nathan",1000075454,Right,WM_TRI,"Carr, Will",10027123,Left,WM_TRI,Undefined,2,Top,2,3,2,Fastball,Cutter,BallCalled,Walk,Undefined,Undefined,0,0,,86.97656,-1.569361,-0.945098,2014.854678,164.489249,11:30,5.62548,-0.03582,5.50545,-19.29123,18.89694,-4.84485,2.54958,-1.32353,78.10305,-5.238283,-1.808244,0.44477,,,,,,,,,,,,2.11626,10.4513,0.12166,50,5.47598,2.29227,-125.94872,-4.03222,3.33432,30.145,-15.7073,WM_TRI,WM_TRI,PlumeriPark,TeamExclusive,Team,20221006-PlumeriPark-Private-1,6d5138b0-45b5-11ed-990a-975020632eee,84.74585,,,8.8735,,,,,,,1b977687-f2c8-4152-9997-3a9a8c1c805d,2022-10-06,20:27:26.44,2022-10-06T16:27:26.4427854-04:00,2022-10-06T20:27:26.4427854Z,,v3,471493,471493,,"Ducker, Gavin",1000151843,Right,WM_TRI,6339ee12-52ff-4e1a-8c1a-f2973c167b62,54.98955,-127.13733,15.0725,5.62276,-3.41288,-7.85365,0.03386,2.1608,1.66716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
66,2022-10-06,16:27:51.88,4,1,"Knowles, Nathan",1000075454,Right,WM_TRI,"Kinsey, Nate",1000072786,Right,WM_TRI,Undefined,2,Top,2,0,0,Splitter,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,81.20007,-2.703187,1.921083,1445.319381,132.423051,10:30,5.18072,-0.5982,5.47228,-30.11817,13.88985,-13.34552,0.13787,0.08814,73.17871,-8.297625,-0.457794,0.47746,,,,,,,,,,,,7.43792,8.39563,0.43894,50,4.92281,-3.40499,-117.47949,-6.50511,10.17332,26.67684,-20.69079,WM_TRI,WM_TRI,PlumeriPark,TeamExclusive,Team,20221006-PlumeriPark-Private-1,7c7123a0-45b5-11ed-990a-975020632eee,78.94362,,,8.02136,,,,,,,1b977687-f2c8-4152-9997-3a9a8c1c805d,2022-10-06,20:27:51.88,2022-10-06T16:27:51.8891342-04:00,2022-10-06T20:27:51.8891342Z,,v3,471493,471493,,"Ducker, Gavin",1000151843,Right,WM_TRI,e19eac76-f667-4357-b5ab-4032281f750e,55.02569,-118.61521,13.33842,5.181,-5.62423,-10.34539,0.59312,-3.8381,5.08666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
67,2022-10-06,16:29:58.17,1,1,"Feffer, Jake",1000075477,Left,WM_TRI,"Ducker, Gavin",1000151843,Right,WM_TRI,Undefined,2,Bottom,0,0,0,Sinker,Changeup,InPlay,Undefined,LineDrive,Single,0,0,,84.53438,0.24921,2.787129,1924.374519,123.132661,10:00,5.21529,-2.15503,4.59635,-27.52505,14.24363,-19.44714,3.15884,-1.12268,75.91309,-4.82849,-0.616657,0.465154,90.71661,8.372404,26.675374,3269.371931,93.19038,5.60676,58.4416,141.36469,141.36469,33.653653,1.237162,10.44764,7.29575,1.88678,50,5.21658,-5.04958,-122.2318,-0.48787,15.5478,27.76708,-21.31676,WM_TRI,WM_TRI,PlumeriPark,TeamExclusive,Team,20221006-PlumeriPark-Private-1,c7bfdb30-45b5-11ed-990a-975020632eee,81.03218,8.17881,,8.62129,,,,2.64014,3.17555,1.3518,1b977687-f2c8-4152-9997-3a9a8c1c805d,2022-10-06,20:29:58.17,2022-10-06T16:29:58.1795662-04:00,2022-10-06T20:29:58.1795662Z,LineDrive,v3,471493,471493,,"Goranson, Nathan",1000123432,Right,WM_TRI,487f406a-c429-41e4-8301-e8d3fb6b464e,55.90193,-123.56525,13.88354,5.21543,0.53582,-10.65838,2.1472,-5.79623,7.7739,,2.64014,117.62241,-25.26666,5.52177,-1.18807,0.21708,-0.03834,0.00563,-0.00048,3.17555,19.37307,-19.59355,1.75888,-0.23734,0.0239,0.00146,-0.00077,9E-05,1.3518,59.09459,5.45383,-3.47113,1.23301,-0.3595,0.09118,-0.01803,0.00194,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
68,2022-10-06,16:30:34.94,2,1,"Feffer, Jake",1000075477,Left,WM_TRI,"Lowengart, Assaf",1000149975,Right,WM_TRI,Undefined,2,Bottom,0,0,0,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,75.21676,3.274889,2.407707,2251.932874,290.288038,3:45,5.33816,-1.78941,4.01469,-55.32818,-0.74323,7.78217,3.88172,1.1749,67.11433,-6.6508,3.753137,0.53175,,,,,,,,,,,,-2.82709,-0.82303,1.50716,50,5.64967,-4.90684,-108.34444,4.0727,-3.2779,23.26186,-33.1283,WM_TRI,WM_TRI,PlumeriPark,TeamExclusive,Team,20221006-PlumeriPark-Private-1,dda8fcb0-45b5-11ed-990a-975020632eee,70.88371,,,8.10242,,,,,,,1b977687-f2c8-4152-9997-3a9a8c1c805d,2022-10-06,20:30:34.94,2022-10-06T16:30:34.9498702-04:00,2022-10-06T20:30:34.9498702Z,,v3,471493,471493,,"Goranson, Nathan",1000123432,Right,WM_TRI,e9846a86-8f1d-4e70-b4c7-a7bcdf4c5a50,56.47961,-109.72681,11.63093,5.34915,6.0414,-16.56415,1.79297,-4.71204,-1.63895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
69,2022-10-06,16:30:54.07,2,2,"Feffer, Jake",1000075477,Left,WM_TRI,"Lowengart, Assaf",1000149975,Right,WM_TRI,Undefined,2,Bottom,0,1,0,ChangeUp,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,79.42453,0.216671,2.152872,1590.310191,100.524727,9:15,5.18387,-1.97688,4.72756,-41.77538,5.20209,-18.80391,1.90832,-1.50023,71.77986,-7.377646,-1.151943,0.493306,,,,,,,,,,,,9.87012,2.9865,1.77728,50,5.16915,-3.49802,-114.94071,-1.10115,13.00879,24.24539,-28.23785,WM_TRI,WM_TRI,PlumeriPark,TeamExclusive,Team,20221006-PlumeriPark-Private-1,e9074bc0-45b5-11ed-990a-975020632eee,76.40786,,,7.64468,,,,,,,1b977687-f2c8-4152-9997-3a9a8c1c805d,2022-10-06,20:30:54.07,2022-10-06T16:30:54.0739918-04:00,2022-10-06T20:30:54.0739918Z,,v3,471493,471493,,"Goranson, Nathan",1000123432,Right,WM_TRI,c4619d0e-90f2-4b60-b700-cd84790d1536,55.77015,-116.15148,12.1227,5.18893,0.309,-14.11892,1.96819,-4.14766,6.50439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
70,2022-10-06,16:31:36.64,2,3,"Feffer, Jake",1000075477,Left,WM_TRI,"Lowengart, Assaf",1000149975,Right,WM_TRI,Undefined,2,Bottom,0,1,1,ChangeUp,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,80.51763,0.678283,2.133281,1581.302226,109.142472,9:45,5.1942,-1.96849,4.41103,-37.75549,8.28737,-19.23375,2.6957,-1.53448,72.91755,-6.167896,-1.225088,0.488374,,,,,,,,,,,,9.92201,4.28394,1.76154,50,5.23005,-3.45968,-116.51023,-0.06321,13.51069,23.80556,-26.34057,WM_TRI,WM_TRI,PlumeriPark,TeamExclusive,Team,20221006-PlumeriPark-Private-1,02694050-45b6-11ed-990a-975020632eee,77.17948,,,7.60008,,,,,,,1b977687-f2c8-4152-9997-3a9a8c1c805d,2022-10-06,20:31:36.64,2022-10-06T16:31:36.6441806-04:00,2022-10-06T20:31:36.6441806Z,,v3,471493,471493,,"Goranson, Nathan",1000123432,Right,WM_TRI,5294179f-70d8-41c6-832a-20776a7c705f,56.08663,-117.74729,11.90278,5.19777,1.30558,-13.17029,1.95956,-4.16176,6.75534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
71,2022-10-06,16:31:55.51,2,4,"Feffer, Jake",1000075477,Left,WM_TRI,"Lowengart, Assaf",1000149975,Right,WM_TRI,Undefined,2,Bottom,0,1,2,Sinker,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,85.24067,0.838416,2.694921,2066.711472,125.457203,10:15,5.18818,-2.00325,4.49803,-28.07061,12.92123,-16.12229,3.64877,-0.7771,76.93327,-4.309961,-0.121194,0.460808,,,,,,,,,,,,8.58556,6.43437,1.7367,50,5.25034,-5.02125,-123.27575,0.72701,13.09284,26.56679,-22.36169,WM_TRI,WM_TRI,PlumeriPark,TeamExclusive,Team,20221006-PlumeriPark-Private-1,0da2a240-45b6-11ed-990a-975020632eee,81.7964,,,8.30741,,,,,,,1b977687-f2c8-4152-9997-3a9a8c1c805d,2022-10-06,20:31:55.51,2022-10-06T16:31:55.5150670-04:00,2022-10-06T20:31:55.5150670Z,,v3,471493,471493,,"Goranson, Nathan",1000123432,Right,WM_TRI,c6f53ebc-4294-4d57-96ee-18a69870ae8f,55.99812,-124.56168,13.2834,5.18895,1.8094,-11.18085,1.99508,-5.65499,6.54642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
72,2022-10-06,16:32:26.37,2,5,"Feffer, Jake",1000075477,Left,WM_TRI,"Lowengart, Assaf",1000149975,Right,WM_TRI,Undefined,2,Bottom,0,2,2,ChangeUp,Changeup,InPlay,Undefined,Popup,Out,1,0,,80.96018,-0.738075,3.420707,1664.61776,131.281348,10:30,5.15733,-2.00295,4.57356,-32.29415,12.89603,-12.92225,1.76257,0.17889,73.62549,-6.62292,1.161405,0.483831,89.66333,69.798261,5.106929,,,,,,57.43753,,,7.36807,6.93985,1.66132,50,5.05131,-6.43374,-117.11183,-2.69313,10.17132,23.35761,-22.59385,WM_TRI,WM_TRI,PlumeriPark,TeamExclusive,Team,20221006-PlumeriPark-Private-1,20162500-45b6-11ed-990a-975020632eee,77.90419,104.81168,,7.33469,,,,3.2361,1.97032,-0.1408,1b977687-f2c8-4152-9997-3a9a8c1c805d,2022-10-06,20:32:26.37,2022-10-06T16:32:26.3785806-04:00,2022-10-06T20:32:26.3785806Z,,v3,471493,471493,,"Goranson, Nathan",1000123432,Right,WM_TRI,0bd25ffc-0756-41a9-90b0-9401c25fca3c,55.92577,-118.2878,11.67881,5.15826,-1.55561,-11.29692,1.99813,-6.94583,5.08566,,3.2361,45.23226,-17.87576,4.6573,-1.18427,0.31837,-0.08276,0.01746,-0.00205,1.97032,123.41608,-34.80648,6.25119,-1.64186,0.43788,-0.11466,0.02426,-0.00284,-0.1408,4.04239,1.45847,-0.39816,0.10283,-0.0275,0.00709,-0.00149,0.00017,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
73,2022-10-06,16:33:00.74,3,1,"Feffer, Jake",1000075477,Left,WM_TRI,"Ragone, Cole",1000055810,Right,WM_TRI,Undefined,2,Bottom,1,0,0,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,81.10723,1.989836,2.953929,1622.398441,106.208816,9:30,5.28814,-1.93445,4.47015,-38.08852,7.22689,-19.46387,4.01432,-0.73793,73.30449,-4.92494,-0.442688,0.484501,,,,,,,,,,,,10.26312,3.37949,1.64288,50,5.46207,-5.15275,-117.25724,2.61605,14.17662,23.79804,-27.5059,WM_TRI,WM_TRI,PlumeriPark,TeamExclusive,Team,20221006-PlumeriPark-Private-1,34885df0-45b6-11ed-990a-975020632eee,77.79648,,,7.80275,,,,,,,1b977687-f2c8-4152-9997-3a9a8c1c805d,2022-10-06,20:33:00.74,2022-10-06T16:33:00.7470414-04:00,2022-10-06T20:33:00.7470414Z,,v3,471493,471493,,"Goranson, Nathan",1000123432,Right,WM_TRI,ef4bd9d9-29ad-403c-9fd2-ea2da7275eea,56.02755,-118.47425,11.89902,5.29232,4.02267,-13.75295,1.92492,-5.87773,7.08831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
74,2022-10-06,16:33:16.45,3,2,"Feffer, Jake",1000075477,Left,WM_TRI,"Ragone, Cole",1000055810,Right,WM_TRI,Undefined,2,Bottom,1,1,0,ChangeUp,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,79.98603,-0.889702,3.941326,1539.067424,93.798619,9:15,5.06186,-2.13679,4.69629,-43.43435,3.05331,-20.35663,0.59561,-0.08551,72.44828,-8.740955,0.370071,0.490727,,,,,,,,,,,,11.23623,2.25685,1.75594,50,4.93266,-7.07497,-115.5819,-3.42234,14.98387,24.40135,-29.16448,WM_TRI,WM_TRI,PlumeriPark,TeamExclusive,Team,20221006-PlumeriPark-Private-1,3dfe3df0-45b6-11ed-990a-975020632eee,76.80934,,,7.53775,,,,,,,1b977687-f2c8-4152-9997-3a9a8c1c805d,2022-10-06,20:33:16.45,2022-10-06T16:33:16.4536142-04:00,2022-10-06T20:33:16.4536142Z,,v3,471493,471493,,"Goranson, Nathan",1000123432,Right,WM_TRI,61d92afd-2b19-4fce-8455-2bd8072beb59,55.803,-116.80059,12.20068,5.06721,-1.96576,-14.58224,2.12798,-7.82332,7.49194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
75,2022-10-06,16:33:36.41,3,3,"Feffer, Jake",1000075477,Left,WM_TRI,"Ragone, Cole",1000055810,Right,WM_TRI,Undefined,2,Bottom,1,1,1,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,74.39843,3.492179,0.414326,2138.886062,269.266138,3:00,5.33495,-1.82027,4.1682,-52.69168,2.1552,14.16879,4.29575,-0.24237,66.95775,-5.988899,2.874359,0.533025,,,,,,,,,,,,-6.60335,0.53063,1.75839,50,5.66683,-1.39677,-107.41001,4.59186,-7.60107,21.15073,-31.56323,WM_TRI,WM_TRI,PlumeriPark,TeamExclusive,Team,20221006-PlumeriPark-Private-1,49d0d2a0-45b6-11ed-990a-975020632eee,70.71423,,,7.44068,,,,,,,1b977687-f2c8-4152-9997-3a9a8c1c805d,2022-10-06,20:33:36.41,2022-10-06T16:33:36.4123982-04:00,2022-10-06T20:33:36.4123982Z,,v3,471493,471493,,"Goranson, Nathan",1000123432,Right,WM_TRI,e4a66430-b440-4483-b3e3-206bb8d541e1,56.32814,-108.64897,10.57536,5.34369,6.44076,-15.78162,1.82717,-0.95152,-3.80054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
